KEGG, CAS,PubChem,ChEBI,NIKKAJI,PDB-CCD,KNApSAcK,3DMET,LIPIDMAPS,GlycomeDB,CCSD,JCGGDB,LipidBank
C01083,99-20-7,4320,16551,J4.965D,TRE,C00001152,B01375, , , , , 
C01081, ,4319,9533,J221.489J,TPS,C00019628,B00237, , , , , 
C01080, ,4318,15823,J2.731.209H, , ,B04763, , , , , 
C09252,3371-85-5,11443,10014,J10.581C, ,C00001785,B05343, , , , , 
C12245, ,14390,31833,J1.811.909I, , , , , , , , 
C09250,35226-29-0,11441,9911,J19.167A, ,C00001780,B02800, , , , , 
C09251,1617-90-9,11442,9985,J7.533G, ,C00001782,B02801, , , , , 
C09256,146-48-5,11447,10093,J9.366A, ,C00001789,B02804, , , , , 
C09257,96638-81-2,11448,4352,J2.769.102A, ,C00002464,B02805, , , , , 
C09254,19772-79-3,11445,10016,J125.678E, ,C00001787,B02802, , , , , 
C12244, ,14389,31108,J674.246G, , , , , , , , 
C09258,5928-25-6,11449,4353,J14.116J, ,C00002465,B02806, , , , , 
C09259,23458-02-8,11450,4354,J16.556E, ,C00002466,B02807, , , , , 
C12246,69239-55-0,14391,32068,J92.551I, ,C00018209,B05620,LMPK05000007, , , , 
C12240, ,14385,31525,J661.697F, , , , , , , , 
C10575,6656-13-9,12758,3350,J13.637I, ,C00002319,B03969, , , , , 
C12243, ,14388,31026,J2.781.624J, , , , , , , , 
C10574,28178-92-9,12757,5203,J258.537E, ,C00002604,B05446, , , , , 
C12242,476-32-4,14387,31389,J5.974I, ,C00024623, , , , , , 
C10577,2/1/5853,12760,3451,J8.298H, ,C00002321,B03971, , , , , 
C04566, ,7169, , , , , , , , , , 
C04565, ,7168, , , , , , , , , , 
C10576,57682-64-1,12759,3361,J244.905F, ,C00002320,B03970, , , , , 
C04563,20298-95-7,7166,16507,J608.454K, , ,B01757, , , , , 
C04562, ,7165,28769,J2.751.661K, , , , , , , , 
C04561, ,7164,16239,J2.751.660B, , , , , , , , 
C10571,490-02-8,12754,2879,J12.576H, ,C00002316,B05445, , , , , 
C17702,36889-17-5,96024032,81280,J87.127C, ,C00018397, , , , , , 
C10573,595-05-1,12756,3333,J17.151D, ,C00002318,B03968, , , , , 
C08615,638-95-9,10808,10213,J6.928K, ,C00003737,B02269,LMPR0106170001, , , ,SST0135|SST9141
C08614,126-29-4,10807,35288,J8.626F,XAT,C00003787,B02268,LMPR01070282, , , ,VCA0060
C08617,464-92-6,10810,2873,J11.338G,0AS,C00003739,B02271, , , , , 
